519.39,-198.58,-0.74438,-0.74438
-2.4643,17.805,0.56244,0.56244
-0.024496,2.9406e-06,4.9178,4.9178
143.29,-0.021145,0.18199,0.18199
1.1285e-05,-0.00046137,3.6497,3.6497
-0.21541,2.5755,-0.070906,-0.070906
-0.0065902,-7.6125e-06,-23.935,-23.935
29.206,0.025159,0.46262,0.46262
-2.3746e-05,-0.00011097,2.0065,2.0065
0.1473,0.51958,0.3774,0.3774
-0.0016747,-1.2001e-05,-31.003,-31.003
6.5132,0.021908,-0.012792,-0.012792
-1.2901e-05,-1.1401e-05,17.291,17.291
0.18014,0.11324,-0.50169,-0.50169
-0.00026402,-2.078e-05,-94.105,-94.105
1.5643,0.016949,-0.10589,-0.10589
2.648e-05,3.424e-05,-45.346,-45.346
0.99772,0.99432,15.833,15.833
